student_id,questions,answers,comments
ST001,7,9,39
ST002,4,20,11
ST003,9,19,21
ST004,2,1,29
ST005,20,29,67
ST006,3,13,17
ST007,5,13,37
ST008,2,2,8
ST009,1,5,6
ST010,2,5,6
ST011,2,0,1
ST012,1,4,3
ST013,0,4,7
ST014,1,5,1
ST015,8,15,37
ST016,5,2,28
ST017,2,16,38
ST018,2,2,6
ST019,1,1,30
ST020,5,18,21
ST021,14,20,26
ST022,2,19,28
ST023,5,16,9
ST024,0,1,2
ST025,7,30,37
ST026,10,18,21
ST027,7,16,22
ST028,10,4,11
ST029,1,0,4
ST030,1,4,4
ST031,8,6,38
ST032,7,3,27
ST033,6,1,36
ST034,7,30,45
ST035,6,19,9
ST036,3,9,20
ST037,1,0,1
ST038,1,3,7
ST039,17,13,63
ST040,7,5,28
ST041,1,5,11
ST042,10,8,29
ST043,8,2,37
ST044,0,2,0
ST045,0,2,0
ST046,2,0,5
ST047,10,23,28
ST048,10,14,28
ST049,2,19,25
ST050,6,3,11
ST051,2,2,3
ST052,1,13,30
ST053,2,2,7
ST054,7,20,8
ST055,6,19,6
ST056,17,10,40
ST057,14,24,29
ST058,10,11,43
ST059,2,5,7
ST060,10,14,28
ST061,2,4,0
ST062,5,3,18
ST063,6,6,20
ST064,2,20,19
ST065,0,1,3
ST066,14,32,24
ST067,3,9,36
ST068,16,25,55
ST069,3,10,31
ST070,2,7,17
ST071,5,16,37
ST072,9,17,80
ST073,3,10,11
ST074,1,0,10
ST075,7,18,40
ST076,0,0,9
ST077,2,9,29
ST078,5,17,47
ST079,0,0,3
ST080,0,1,0
ST081,6,19,15
ST082,2,4,2
ST083,1,0,0
ST084,17,13,25
ST085,8,16,37
ST086,2,1,9
ST087,0,2,3
ST088,10,7,26
ST089,1,7,17
ST090,1,3,0
ST091,5,9,27
ST092,2,2,2
ST093,19,27,47
ST094,0,4,10
ST095,0,4,7
ST096,6,16,30
ST097,1,2,0
ST098,2,5,8
ST099,9,10,31
ST100,1,0,8
ST101,9,3,32
ST102,0,0,5
ST103,9,9,7
ST104,0,1,10
ST105,10,10,61
ST106,5,19,6
ST107,6,8,32
ST108,2,0,8
ST109,3,5,37
ST110,10,3,19
ST111,0,1,3
ST112,3,16,16
ST113,2,1,8
ST114,1,3,5
ST115,1,5,8
ST116,8,30,35
ST117,2,1,2
ST118,7,6,16
ST119,9,23,57
ST120,1,1,0
ST121,1,5,12
ST122,5,12,38
ST123,5,22,24
ST124,2,5,7
ST125,0,1,6
ST126,4,13,27
ST127,2,6,27
ST128,6,6,17
ST129,1,1,8
ST130,2,5,10
ST131,5,11,38
ST132,2,1,7
ST133,2,2,8
ST134,1,1,10
ST135,1,2,9
ST136,5,7,14
ST137,0,5,3
ST138,1,5,2
ST139,6,15,12
ST140,14,36,56
ST141,8,14,21
ST142,10,17,12
ST143,3,1,13
ST144,1,4,7
ST145,4,7,20
ST146,12,34,76
ST147,2,0,3
ST148,0,0,1
ST149,1,1,2
ST150,0,4,4
ST151,3,14,22
ST152,12,32,31
ST153,8,1,18
ST154,2,6,26
ST155,19,20,80
ST156,7,33,21
ST157,0,5,10
ST158,7,16,50
ST159,0,4,8
ST160,4,10,28
ST161,2,2,9
ST162,1,2,10
ST163,2,5,2
ST164,4,11,14
ST165,2,1,5
ST166,1,0,6
ST167,1,15,35
ST168,2,6,27
ST169,0,0,5
ST170,1,2,3
ST171,7,1,31
ST172,2,7,24
ST173,2,0,5
ST174,2,4,5
ST175,19,40,33
ST176,7,13,35
ST177,4,20,36
ST178,10,1,36
ST179,10,39,43
ST180,6,4,23
ST181,2,8,25
ST182,9,4,6
ST183,8,4,17
ST184,11,17,76
ST185,10,6,29
ST186,3,16,7
ST187,5,19,14
ST188,8,35,36
ST189,6,11,24
ST190,8,36,34
ST191,4,7,34
ST192,5,1,11
ST193,1,5,5
ST194,4,9,34
ST195,2,5,1
ST196,8,19,5
ST197,9,16,35
ST198,9,38,45
ST199,10,20,24
ST200,3,13,14
ST201,1,8,31
ST202,8,9,6
ST203,9,3,36
ST204,2,12,10
ST205,1,4,2
ST206,10,18,7
ST207,8,16,31
ST208,8,12,13
ST209,13,10,29
ST210,8,10,23
ST211,1,3,9
ST212,1,1,5
ST213,10,2,40
ST214,1,7,23
ST215,1,4,2
ST216,0,1,3
ST217,0,2,6
ST218,7,24,46
ST219,1,13,40
ST220,8,19,32
ST221,8,19,30
ST222,5,16,19
ST223,11,18,65
ST224,14,20,80
ST225,6,13,33
ST226,2,3,8
ST227,12,40,58
ST228,10,13,5
ST229,4,1,23
ST230,9,7,32
ST231,10,9,32
ST232,2,18,16
ST233,2,4,0
ST234,7,9,34
ST235,10,20,34
ST236,1,10,36
ST237,5,18,21
ST238,2,2,1
ST239,0,3,1
ST240,10,7,28
ST241,10,6,26
ST242,2,7,13
ST243,6,3,13
ST244,14,26,32
ST245,2,2,6
ST246,6,13,20
ST247,1,0,6
